2.1.0	2.1.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
πόλει,	πόλις	{Case: [dative], Gender: [feminine], Number: [singular]}	a city
ἀποστήσεται	ἀφίστημι	{Mood: [indicative], Number: [singular], Person: [third], Tense: [future], VerbForm: [finite], Voice: [middle]}	to put away, remove; (mid.) revolt
πολέμου,	πόλεμος	{Case: [genitive], Gender: [masculine], Number: [singular]}	battle, fight, war
ἐθέλει.	ἐθέλω	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	to will, wish, purpose
2.7.3	2.7.3	{Case: [accusative], Gender: [masculine], Number: [singular]}	
Λαβὼν	λαμβάνω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to take, seize, receive
παῖδα	παῖς	{Case: [accusative], Gender: [masculine], Number: [singular]}	a child
φιλήσας	φιλέω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to love, regard with affection
ἐπηύχετο	ἐπεύχομαι	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to pray
θεοῖς	θεός	{Case: [dative], Gender: [masculine], Number: [plural]}	god
παρέχειν	παρέχω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to furnish, provide, supply
τέκνον	τέκνον	{Case: [accusative], Gender: [neuter], Number: [singular]}	a child
εὐκλεέστερον	εὔκλος	{Case: [accusative], Degree: [comparative], Gender: [neuter], Number: [singular]}	
πατρός·	πατήρ	{Case: [genitive], Gender: [masculine], Number: [singular]}	a father
ἀποδοὺς	ἀποδίδωμι	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to give back, give what is due; (mid.) sell
μητρὶ	μήτηρ	{Case: [dative], Gender: [feminine], Number: [singular]}	a mother
χαίρειν	χαίρω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to rejoice, be glad, be delighted
κελεύσας	κελεύω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to urge
ἀπῆλθεν,	ἀπέρχομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to go away, depart from
Ἀνδρομάχη	Ἀνδρομάχη	{Case: [nominative], Gender: [feminine], Number: [singular]}	Andromache
ἔκλαυσεν.	κλαίω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to weep, lament, wail
2.8.0	2.8.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Socrates	Socrates	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [singular]}	
2.8.1	2.8.1	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Ἦν	εἰμί	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to be
ποτε	ποτε	{}	ever, sometime
Ἀθηναίοις	Ἀθηναῖος	{Case: [dative], Degree: [positive], Gender: [masculine], Number: [plural]}	Athenian, of Athens
ἀνὴρ	ἀνήρ	{Case: [nominative], Gender: [masculine], Number: [singular]}	a man
ὀνόματι	ὄνομα	{Case: [dative], Gender: [neuter], Number: [singular]}	name
Σωκράτης,	Σωκράτης,	{Case: [nominative], Gender: [masculine], Number: [singular]}	
εὐπρεπὴς	εὐπρεπής	{Case: [nominative], Degree: [positive], Gender: [feminine], Number: [singular]}	well-looking, goodly, comely
ὦν,	οἶνα	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
δεινὸς	δεινός	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [singular]}	fearful, terrible, dread, dire
λέγειν,	λέγω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to say, tell, speak; epic and arch.: pick, gather
ξυμπολῖται	ξυμπολίτης	{Case: [nominative], Gender: [masculine], Number: [plural]}	
ἔλεγον·	λέγω	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to say, tell, speak; epic and arch.: pick, gather
πολλοὺς	πολύς	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [plural]}	much, many
εἶχε	ἔχω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)
φίλους,	φίλος	{Case: [accusative], Gender: [masculine], Number: [plural]}	friend; loved, beloved, dear
πολλοὺς	πολύς	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [plural]}	much, many
ἐχθρούς.	ἐχθρός	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [plural]}	hated, hateful; enemy
2.8.2	2.8.2	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [plural]}	
Χαιρεφῶντι	Χαιρεφών	{Case: [dative], Gender: [masculine], Number: [singular]}	
ἐρωτῶντι	ἐρωτάω	{Case: [dative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to ask
ἐστὶ	εἰμί	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	to be
σοφώτατος	σοφός	{Case: [nominative], Degree: [superlative], Gender: [masculine], Number: [singular]}	wise, skilled, clever
ἀνθρώπων	ἄνθρωπος	{Case: [genitive], Gender: [masculine], Number: [plural]}	man, person, human
ἀντεῖπεν	ἀντιρέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
θεὸς	θεός	{Case: [nominative], Gender: [masculine], Number: [singular]}	god
Δελφοῖς	Δελφοί	{Case: [dative], Gender: [masculine], Number: [plural]}	Delphi; Delphians
σοφώτερός	σοφός	{Case: [nominative], Degree: [comparative], Gender: [masculine], Number: [singular]}	wise, skilled, clever
ἐστι	εἰμί	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	to be
Σωκράτους·	Σωκράτος	{Case: [accusative], Gender: [masculine], Number: [plural]}	
ἀκούσας	ἀκούω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to hear
νῷ	νόος	{Case: [dative], Gender: [feminine], Number: [singular]}	mind, perception
εἶχε	ἔχω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)
πᾶσι	πᾶς	{Case: [dative], Gender: [masculine], Number: [plural]}	all, the whole
διαλέγεσθαι	διαλέγομαι	{Tense: [present], VerbForm: [infinitive], Voice: [middle]}	talk
ἐλέγξων	ἐλέγχω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	cross-examine; put to the test; prove; refute
μαντεῖον	μαντεῖον	{Case: [accusative], Gender: [neuter], Number: [singular]}	an oracle
ἀποφανῶν	ἀποφαίνω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to shew fort, display, produce
σοφώτεροί	σοφώτεροι	{Case: [nominative], Degree: [comparative], Gender: [masculine], Number: [plural]}	
εἰσιν·	εἶμι	{Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	come, go
πολλάκις	πολλάκις	{}	many times, often, oft
ἄλλως	ἄλλως	{Degree: [positive]}	in another way
πειρασάμενος	πειράζω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [middle]}	to make proof
αὑτὸν	αὐτός	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ἐλογίζετο,	λογίζομαι	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to count, reckon, calculate, compute
σοφώτερος	σοφός	{Case: [nominative], Degree: [comparative], Gender: [masculine], Number: [singular]}	wise, skilled, clever
ἐστίν,	τίστημι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
ἐκεῖνοι	ἐκεῖνος	{Case: [nominative], Gender: [masculine], Number: [plural]}	that over there, that
οἴονταί	φορέω	{Mood: [indicative], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [middle]}	to bear
εἰδέναι	οἶδα	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	to know
εἰδότες,	οἶδα	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [active]}	to know
οἶδεν	οἶδα	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to know
οἴεται.	οἶδα	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [middle]}	to know
2.8.3	2.8.3	{Case: [nominative], Gender: [feminine], Number: [singular]}	
Ἀλλ	Ἀλλός	{Case: [nominative], Definiteness: [definite], Gender: [feminine], Number: [singular], PrononimalType: [demonstrative]}	
ἐξετάσεως	ἐξέτασις	{Case: [genitive], Gender: [feminine], Number: [singular]}	a close examination, scrutiny, review
πολλαί	πολύς	{Case: [nominative], Degree: [positive], Gender: [feminine], Number: [plural]}	much, many
ἀπέχθειαι	ἀπέχθεια	{Case: [nominative], Gender: [feminine], Number: [plural]}	hatred
διαβολαὶ	διαβολή	{Case: [nominative], Gender: [feminine], Number: [plural]}	false accusation, slander, calumny
Σωκράτει	Σωκράτης	{Case: [dative], Gender: [masculine], Number: [singular]}	Socrates
ἐγένοντο.	γίγνομαι	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	become, be born
Πρῶτον	πρῶτος	{Case: [accusative], Gender: [neuter], Number: [singular]}	first
γάρ	γάρ	{}	for
Ἀριστοφάνης	Ἀριστοφάνης	{Case: [nominative], Gender: [masculine], Number: [singular]}	Aristophanes
ποιητὴς	ποιητής	{Case: [nominative], Gender: [masculine], Number: [singular]}	maker, composer, author, poet
αὐτοῦ	αὐτός	{Case: [genitive], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
κατεγέλα	καταγίλνομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
κωμῳδίαις,	κωμῳδία	{Case: [dative], Gender: [feminine], Number: [plural]}	a comedy
ἔπειτα	ἔπειτα	{}	then, next
δέ	δέ	{}	but
ἐγράψαντο	γράφω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to scratch, draw, write
αὐτόν,	αὐτός	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
Μέλητός	Μέλη	{Case: [nominative], Gender: [masculine], Number: [singular]}	
Ἄνυτος	Ἄνυτος	{Case: [genitive], Gender: [masculine], Number: [singular]}	Anytus
Λύκων,	Λύκων	{Case: [genitive], Gender: [masculine], Number: [plural]}	Lycon
Μέλητος	Μέλητος	{Case: [nominative], Gender: [masculine], Number: [singular]}	Meletus
ἀχθόμενος	ἄχθομαι	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [middle]}	to be loaded; to be annoyed
ποιητῶν,	ποιητής	{Case: [genitive], Gender: [masculine], Number: [plural]}	maker, composer, author, poet
οὕσπερ	οὕσπερ	{}	
Σωκράτης	Σωκράτης	{Case: [nominative], Gender: [masculine], Number: [singular]}	Socrates
ἀπέφηνε	ἀποφαίνω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to shew fort, display, produce
πάντα	πᾶς	{Case: [accusative], Gender: [neuter], Number: [plural]}	all, the whole
ἀγνοοῦντας,	ἀγνοέω	{Case: [accusative], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	not to perceive, be ignorant of
Ἄνυτος	Ἄνυτος	{Case: [nominative], Gender: [masculine], Number: [singular]}	Anytus
δημιουργῶν	δημιουργός	{Case: [genitive], Gender: [masculine], Number: [plural]}	one who works for the people, a skilled workman, handicraftsman
πολιτικῶν,	πολιτικός	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [plural]}	of, for, related to citizen or statesman; civil, constitutional
Λύκων	Λύκοι	{Case: [genitive], Gender: [masculine], Number: [plural]}	
ῥητόρων.	ῥητόρωνος	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [plural]}	
2.8.4	δι.άω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
ἀντωμοσία	ἀντωμοσία	{Case: [nominative], Gender: [feminine], Number: [singular]}	an oath
ὧδε	ὧδε	{}	in this wise, so, thus
εἶχεν·	ἔχω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)
Σωκράτης	Σωκράτης	{Case: [nominative], Gender: [masculine], Number: [singular]}	Socrates
ἀδικεῖ	ἀδικέω	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	to do wrong
